[15:45:31.498] : [CorpCard2DB] file_path=[C:\KSNET_WORK\eclipse\workspace\InternetEntSvrClient\recv\ABRR20171204_10962533C04.001], info_cd=[C04], db_driver=[org.gjt.mm.mysql.Driver], db_url=[jdbc:mysql://localhost:3307/test], db_user=[root], db_pass=[0203]
[15:45:33.748] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002029], ApprNo=[1428103111]
[15:45:33.764] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002030], ApprNo=[1428103111]
[15:45:33.779] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002031], ApprNo=[1428103111]
[15:45:33.795] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002032], ApprNo=[1428103111]
[15:45:33.811] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002033], ApprNo=[1428103111]
[15:45:33.826] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002034], ApprNo=[1428103111]
[15:45:33.842] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002035], ApprNo=[1428103111]
[15:45:33.858] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002036], ApprNo=[1428103111]
[15:45:33.873] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002037], ApprNo=[1428103111]
[15:45:33.889] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002038], ApprNo=[1428103111]
[15:45:33.904] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002039], ApprNo=[1428103111]
[15:45:33.920] : [CardInfo2DB] data_code=[D], company_id=[1428103111], send_dt=[2017/11/28], seq_no=[00002040], ApprNo=[1428103111]
